verb,value
accoltellare,0.5886637800215203
affettare,0.5885110211271879
avvelenare,0.2953994090101937
bere,0.7764391268585936
cantare,0.7486440386129157
canticchiare,0.7521474918969137
costruire,0.24323348807407993
cucinare,0.7835973989735566
cucire,0.6138248655755957
decapitare,0.49898373191487244
divorare,0.5727069147760088
firmare,0.4967896690588007
fumare,0.6936365143704156
guardare,0.19041248697926685
insegnare,0.5121774320314921
lavare,0.5202997492919127
lucidare,0.46611648860671046
mangiare,0.6240360335935481
pulire,0.5684277904658784
ricamare,0.6457925988588612
rompere,0.5456384270051742
rubare,0.22732823115800935
scarabocchiare,0.774598373604205
scrivere,0.575161142941159
sorseggiare,0.7606638064253161
spaccare,0.35800971947008
tagliare,0.4437135136473041
trangugiare,0.758835738433465
uccidere,0.41402756288438985
versare,0.6275661376317657

