verb,telicity,in-for,progressive,conjunction
accoltellare,yes,no,yes,yes
affettare,yes,yes,yes,yes
avvelenare,yes,yes,yes,yes
bere,no,no,no,no
cantare,no,no,no,no
canticchiare,no,no,no,no
costruire,yes,yes,yes,yes
cucinare,no,yes,no,no
cucire,no,no,no,no
decapitare,yes,yes,yes,yes
divorare,yes,yes,yes,no
firmare,yes,yes,yes,yes
fumare,no,no,no,no
guardare,no,no,no,no
insegnare,no,no,yes,no
lavare,no,no,no,no
lucidare,no,no,no,no
mangiare,no,no,no,no
pulire,no,yes,no,no
ricamare,no,no,no,no
rompere,yes,yes,yes,yes
rubare,yes,yes,yes,yes
scarabocchiare,no,no,no,no
scrivere,no,no,no,no
sorseggiare,no,no,no,yes
spaccare,yes,yes,yes,yes
tagliare,no,no,no,no
trangugiare,yes,yes,yes,no
uccidere,yes,yes,yes,yes
versare,no,no,no,no
