English,Italian,kind
smoke,fumare,target
sing,cantare,target
clean,pulire,target
cook,cucinare,target
kill,uccidere,target
sew,cucire,target
hum,canticchiare,target
write,scrivere,target
steal,rubare,target
eat,mangiare,target
cut,tagliare,target
embroider,ricamare,target
devour,divorare,target
teach,insegnare,target
build,costruire,target
behead,decapitare,target
poison,avvelenare,target
swig,trangugiare,target
doodle,scarabocchiare,target
knife,accoltellare,target
polish,lucidare,target
wash,lavare,target
sign,firmare,target
sip,sorseggiare,target
watch,guardare,target
slice,affettare,target
drink,bere,target
chop,spaccare,target
pour,versare,target
break,rompere,target
clap,applaudire,filler
fast,digiunare,filler
knock,bussare,filler
laugh,ridere,filler
limp,zoppicare,filler
rest,riposarsi,filler
scream,urlare,filler
sleep,dormire,filler
smile,sorridere,filler
stagger,barcollare,filler
